ID,methane,dl,location,proximity
1,26,1,Valley,Far
2,17000,0,Valley,Far
3,26,1,Upland,Far
4,26,1,Upland,Far
5,0.11,0,Upland,Near
6,0.11,0,Valley,Far
7,0.23,0,Upland,Far
8,1.8,0,Upland,Far
9,0.91,0,Upland,Far
10,0.39,0,Valley,Far
11,1.7,0,Upland,Far
12,0.3,0,Valley,Far
13,1400,0,Valley,Far
14,0.1,1,Upland,Near
15,0.71,0,Upland,Far
16,1300,0,Valley,Far
17,28,0,Upland,Far
18,230,0,Upland,Far
19,1.4,0,Upland,Far
20,3.2,0,Upland,Far
21,0.79,0,Valley,Far
22,0.16,0,Valley,Far
23,0.1,1,Upland,Far
24,14,0,Valley,Far
25,1.2,0,Upland,Near
26,2.9,0,Valley,Far
27,57,0,Upland,Near
28,0.32,0,Upland,Far
29,68,0,Upland,Far
30,0.14,0,Upland,Far
31,26,1,Upland,Far
32,18000,0,Valley,Far
33,0.12,0,Upland,Far
34,0.62,0,Upland,Near
35,0.37,0,Upland,Near
36,0.77,0,Valley,Far
37,0.79,0,Upland,Near
38,0.24,0,Upland,Far
39,0.31,0,Upland,Far
40,1,0,Upland,Far
41,0.3,0,Upland,Far
42,0.1,1,Upland,Far
43,0.74,0,Upland,Far
44,0.2,0,Valley,Far
45,16,0,Valley,Far
46,0.1,1,Valley,Far
47,0.28,0,Valley,Far
48,0.22,0,Valley,Far
49,0.19,0,Upland,Far
50,0.1,1,Upland,Far
51,0.36,0,Valley,Far
52,0.1,1,Upland,Far
53,38,0,Valley,Far
54,0.1,1,Valley,Far
55,2.9,0,Upland,Far
56,9500,0,Valley,Far
57,3.2,0,Valley,Far
58,0.63,0,Valley,Far
59,39,0,Valley,Far
60,0.11,0,Upland,Far
61,0.74,0,Valley,Far
62,1.1,0,Valley,Far
63,140,0,Valley,Far
64,0.18,0,Valley,Far
65,0.11,0,Valley,Far
66,19,0,Valley,Far
67,610,0,Valley,Far
68,1.1,0,Valley,Far
69,0.12,0,Upland,Far
70,3.4,0,Valley,Far
71,0.16,0,Valley,Far
72,0.23,0,Valley,Far
73,0.81,0,Valley,Far
74,0.15,0,Valley,Far
75,0.12,0,Valley,Far
76,0.7,0,Valley,Far
77,0.1,1,Valley,Far
78,440,0,Valley,Far
79,0.6,0,Upland,Far
80,1.4,0,Valley,Far
81,0.26,0,Valley,Far
82,0.12,0,Valley,Near
83,0.33,0,Valley,Far
84,0.44,0,Valley,Far
85,0.12,0,Upland,Far
86,4.5,0,Valley,Far
87,0.34,0,Valley,Far
88,17000,0,Valley,Far
89,0.1,1,Upland,Far
90,7.3,0,Valley,Far
91,1.3,0,Valley,Far
92,12,0,Valley,Far
93,0.1,1,Upland,Near
94,1.9,0,Upland,Far
95,0.34,0,Valley,Far
96,0.17,0,Valley,Far
97,610,0,Upland,Far
98,3,0,Valley,Far
99,13000,0,Valley,Far
100,25000,0,Valley,Far
101,27000,0,Valley,Far
102,0.1,1,Valley,Near
103,22000,0,Valley,Far
104,0.29,0,Valley,Far
105,0.75,0,Upland,Far
106,24000,0,Valley,Far
107,11,0,Valley,Far
108,0.86,0,Valley,Far
109,0.28,0,Valley,Far
110,3.6,0,Upland,Far
111,0.1,1,Valley,Far
112,85,0,Valley,Far
113,0.63,0,Valley,Far
114,4300,0,Upland,Far
115,6600,0,Valley,Far
116,0.83,0,Valley,Far
117,4200,0,Valley,Far
118,0.12,0,Upland,Far
119,0.35,0,Valley,Far
120,0.92,0,Upland,Far
121,0.99,0,Upland,Far
122,0.22,0,Upland,Far
123,1.5,0,Valley,Far
124,430,0,Upland,Far
125,0.8,0,Upland,Far
126,4.1,0,Valley,Far
127,140,0,Valley,Far
128,2,0,Valley,Far
129,0.12,0,Upland,Near
130,16000,0,Valley,Far
131,0.3,0,Upland,Far
132,0.21,0,Valley,Far
133,0.4,0,Upland,Far
134,38,0,Valley,Far
135,0.35,0,Upland,Far
136,0.1,1,Valley,Far
137,0.14,0,Upland,Near
138,0.31,0,Upland,Near
139,2.2,0,Valley,Far
140,0.38,0,Upland,Far
141,0.1,1,Upland,Near
142,0.15,0,Upland,Near
143,16000,0,Upland,Far
144,85,0,Valley,Far
145,0.13,0,Valley,Far
146,1.6,0,Upland,Far
147,0.087,0,Valley,Far
148,120,0,Upland,Near
149,0.22,0,Valley,Far
150,3.4,0,Valley,Far
151,1.9,0,Upland,Far
152,120,0,Valley,Far
153,7.6,0,Valley,Far
154,0.28,0,Upland,Far
155,0.2,0,Upland,Far
156,19,0,Valley,Far
157,5100,0,Valley,Far
158,0.71,0,Upland,Near
159,2,0,Valley,Far
160,0.34,0,Upland,Far
161,1.3,0,Upland,Far
162,0.68,0,Upland,Far
163,0.2,0,Valley,Near
164,4.7,0,Valley,Near
165,8.1,0,Upland,Far
166,0.31,0,Upland,Far
167,0.14,0,Upland,Far
168,0.48,0,Valley,Near
169,1.5,0,Valley,Near
170,210,0,Upland,Near
171,59,0,Upland,Far
172,17,0,Upland,Far
173,22000,0,Valley,Near
174,0.32,0,Upland,Near
175,1.6,0,Valley,Far
176,0.3,0,Valley,Far
177,1.9,0,Valley,Far
178,0.36,0,Upland,Far
179,0.1,1,Upland,Far
180,1.1,0,Valley,Near
181,0.23,0,Valley,Near
182,0.44,0,Valley,Near
183,0.18,0,Valley,Far
184,0.17,0,Upland,Far
185,3000,0,Upland,Near
186,0.12,0,Valley,Near
187,1100,0,Valley,Far
188,0.21,0,Valley,Near
189,0.1,1,Valley,Far
190,0.1,1,Valley,Near
191,0.11,0,Valley,Near
192,12,0,Valley,Near
193,0.32,0,Valley,Near
194,0.18,0,Valley,Near
195,0.16,0,Valley,Near
196,0.1,1,Valley,Near
197,0.16,0,Valley,Near
198,50,0,Valley,Far
199,180,0,Upland,Far
200,0.49,0,Valley,Far
201,0.64,0,Valley,Far
202,0.078,0,Valley,Near
203,1.1,0,Valley,Near
204,0.28,0,Upland,Far
205,6.4,0,Valley,Near
206,0.15,0,Valley,Near
207,0.5,0,Valley,Near
208,0.12,0,Valley,Near
209,0.74,0,Valley,Near
210,2.8,0,Valley,Far
211,0.11,0,Upland,Far
212,0.7,0,Valley,Far
213,0.24,0,Valley,Near
214,1.8,0,Valley,Near
215,0.76,0,Valley,Far
216,9.3,0,Valley,Far
217,0.13,0,Upland,Far
218,0.15,0,Upland,Far
219,12,0,Valley,Near
220,1.5,0,Valley,Far
221,0.11,0,Valley,Far
222,0.12,0,Upland,Far
223,0.1,1,Upland,Far
224,0.1,1,Valley,Far
225,1,0,Upland,Far
226,0.58,0,Valley,Near
227,170,0,Valley,Near
228,0.1,1,Valley,Far
229,0.19,0,Valley,Near
230,0.31,0,Upland,Far
231,0.31,0,Upland,Far
232,0.13,0,Valley,Near
233,0.26,0,Valley,Near
234,0.15,0,Valley,Near
235,0.21,0,Valley,Near
236,0.18,0,Upland,Near
237,0.67,0,Valley,Near
238,5200,0,Valley,Near
239,8.2,0,Valley,Near
240,0.78,0,Valley,Near
241,0.3,0,Upland,Far
242,0.32,0,Valley,Near
243,0.12,0,Upland,Far
244,1.7,0,Valley,Near
245,1.5,0,Valley,Near
246,0.23,0,Valley,Far
247,0.65,0,Upland,Far
248,0.1,1,Valley,Far
249,0.5,0,Valley,Near
250,0.11,0,Upland,Far
251,0.58,1,Upland,Far
252,13,0,Valley,Near
253,27,0,Upland,Near
254,19000,0,Valley,Near
255,1.1,0,Valley,Near
256,7.6,0,Upland,Near
257,0.12,0,Valley,Near
258,0.92,0,Upland,Far
259,1.3,0,Valley,Near
260,770,0,Valley,Near
261,0.2,0,Valley,Near
262,8.4,0,Valley,Near
263,1.5,0,Valley,Near
264,290,0,Valley,Far
265,2.7,0,Valley,Far
266,2.7,0,Valley,Near
267,2.8,0,Upland,Far
268,1100,0,Valley,Far
269,0.34,0,Valley,Far
270,0.23,0,Valley,Far
271,0.46,0,Upland,Far
272,0.1,1,Upland,Near
273,1.1,0,Upland,Far
274,440,0,Upland,Far
275,0.82,0,Upland,Near
276,0.52,0,Upland,Far
277,17,0,Valley,Near
278,1,0,Valley,Far
279,1.7,0,Upland,Far
280,1.7,0,Upland,Far
281,0.31,0,Valley,Near
282,1.3,0,Valley,Far
283,0.12,0,Upland,Near
284,0.14,0,Upland,Far
285,0.23,0,Upland,Far
286,0.1,1,Upland,Far
287,28,0,Valley,Near
288,0.17,0,Upland,Far
289,2.8,0,Upland,Far
290,1.8,0,Valley,Far
291,0.62,0,Upland,Far
292,0.15,0,Valley,Far
293,0.32,0,Valley,Near
294,0.41,0,Upland,Near
295,0.22,0,Upland,Near
296,0.24,0,Upland,Far
297,0.34,0,Valley,Far
298,20900,0,Valley,Near
299,26,1,Upland,Near
300,185,0,Valley,Far
301,1.1,0,Valley,Near
302,3.7,0,Upland,Near
303,0.1,1,Upland,Far
304,0.1,1,Valley,Near
305,3.2,0,Upland,Near
306,2.3,0,Upland,Far
307,0.1,1,Valley,Far
308,0.58,0,Valley,Near
309,0.1,1,Upland,Far
310,0.1,1,Upland,Far
311,7.3,0,Valley,Far
312,1.3,0,Valley,Far
313,0.11,0,Upland,Far
314,0.84,0,Upland,Far
315,0.98,0,Upland,Far
316,0.14,0,Upland,Far
317,0.55,0,Valley,Near
318,2000,0,Upland,Near
319,5.5,0,Valley,Near
320,0.16,0,Valley,Far
321,26,1,Valley,Far
322,26,1,Upland,Near
323,26,1,Valley,Near
324,26,1,Upland,Far
325,26,1,Upland,Far
326,0.1,1,Upland,Near
327,26,1,Valley,Far
328,26,1,Upland,Far
329,26,1,Valley,Far
330,26,1,Upland,Far
331,26,1,Upland,Near
332,26,1,Valley,Near
333,26,1,Valley,Near
334,26,1,Upland,Near
335,26,1,Valley,Far
336,26,1,Valley,Near
337,26,1,Upland,Near
338,26,1,Upland,Near
339,26,1,Valley,Near
340,26,1,Valley,Near
341,26,1,Valley,Near
342,26,1,Valley,Near
343,26,1,Valley,Near
344,0.44,0,Upland,Far
345,26,1,Valley,Near
346,26,1,Valley,Near
347,26,1,Upland,Near
348,26,1,Valley,Near
349,26,1,Valley,Near
350,26,1,Valley,Near
351,26,1,Valley,Near
352,26,1,Valley,Near
353,26,1,Valley,Near
354,26,1,Valley,Near
355,26,1,Valley,Near
356,26,1,Valley,Near
357,26,1,Upland,Near
358,26,1,Valley,Near
359,26,1,Valley,Near
360,26,1,Valley,Near
361,26,1,Valley,Near
362,26,1,Valley,Near
363,26,1,Valley,Near
364,26,1,Valley,Near
365,26,1,Valley,Near
366,26,1,Upland,Near
367,26,1,Valley,Near
368,26,1,Valley,Near
369,26,1,Upland,Near
370,26,1,Valley,Near
371,26,1,Valley,Near
372,26,1,Valley,Near
373,26,1,Valley,Near
374,26,1,Valley,Near
375,26,1,Valley,Near
376,26,1,Valley,Near
377,26,1,Valley,Near
378,26,1,Valley,Near
379,26,1,Valley,Near
380,26,1,Valley,Near
381,26,1,Valley,Near
382,26,1,Valley,Near
383,26,1,Valley,Near
384,26,1,Valley,Near
385,26,1,Valley,Near
386,26,1,Valley,Near
387,26,1,Valley,Near
388,0.3,0,Valley,Far
389,0.1,1,Upland,Near
390,0.13,0,Valley,Far
391,0.1,1,Valley,Near
392,40,0,Upland,Far
393,0.1,1,Upland,Near
394,0.1,1,Upland,Far
395,0.16,0,Upland,Far
396,0.1,1,Valley,Near
397,1.2,0,Valley,Far
398,1.1,0,Upland,Near
399,0.05,1,Upland,Far
400,1.1,0,Valley,Far
401,220,0,Upland,Near
402,2.2,0,Upland,Far
403,0.46,0,Upland,Near
404,170,0,Upland,Far
405,0.68,0,Upland,Far
406,0.58,0,Upland,Far
407,0.46,0,Upland,Far
408,0.1,1,Upland,Far
409,0.16,0,Upland,Far
410,0.6,0,Valley,Far
411,16,0,Valley,Far
412,1.5,0,Upland,Far
413,2.3,0,Valley,Far
414,2.7,0,Valley,Near
415,0.83,0,Upland,Far
416,2.5,0,Valley,Near
417,0.84,0,Upland,Far
418,1.8,0,Valley,Far
419,1.2,0,Valley,Far
420,0.12,0,Upland,Far
421,0.1,1,Upland,Far
422,49,0,Upland,Near
423,0.13,0,Valley,Near
424,0.61,0,Upland,Near
425,1,1,Upland,Far
426,15000,0,Valley,Far
427,2.4,0,Upland,Far
428,0.24,0,Upland,Near
429,1.7,0,Upland,Far
430,0.14,0,Upland,Far
431,0.12,0,Upland,Far
432,0.45,0,Valley,Far
433,0.16,0,Valley,Far
434,0.13,0,Valley,Far
435,6.1,0,Valley,Far
436,0.16,0,Upland,Far
437,0.28,0,Valley,Far
438,1200,0,Valley,Far
439,0.34,0,Valley,Far
440,0.16,0,Upland,Far
441,0.1,0,Valley,Far
442,24,0,Valley,Far
443,0.48,0,Upland,Far
444,12,0,Valley,Far
445,290,0,Upland,Far
446,36,0,Valley,Far
447,0.81,0,Upland,Far
448,1.1,0,Upland,Far
449,0.33,0,Upland,Far
450,0.14,0,Upland,Far
451,0.1,1,Valley,Far
452,0.15,0,Upland,Far
453,0.23,0,Upland,Far
454,0.2,0,Upland,Far
455,0.13,0,Valley,Far
456,0.43,0,Valley,Far
457,4.1,0,Valley,Far
458,26,1,Valley,Near
459,46.7,0,Upland,Near
460,26,1,Upland,Far
461,1.6,0,Valley,Far
462,26,1,Upland,Far
463,26,1,Upland,Far
464,26,1,Upland,Far
465,9,0,Valley,Far
466,26,1,Upland,Near
467,26,1,Upland,Near
468,26,1,Valley,Far
469,0.1,1,Valley,Far
470,26,1,Valley,Far
471,26,1,Valley,Near
472,26,1,Valley,Far
473,26,1,Upland,Far
474,0.25,0,Valley,Far
475,26,1,Valley,Far
476,0.6,0,Upland,Far
477,26,1,Valley,Far
478,26,1,Valley,Near
479,0.47,0,Upland,Far
480,0.12,0,Upland,Far
481,26,1,Valley,Far
482,26,1,Valley,Far
483,26,1,Upland,Far
484,26,1,Valley,Far
485,26,1,Upland,Far
486,26,1,Valley,Far
487,26,1,Valley,Far
488,26,1,Valley,Far
489,26,1,Upland,Far
490,26,1,Valley,Far
491,9.4,0,Valley,Far
492,0.16,0,Valley,Far
493,39000,0,Valley,Far
494,26,1,Valley,Far
495,26,1,Upland,Far
496,26,1,Valley,Far
497,26,1,Upland,Far
498,26,1,Upland,Far
499,26,1,Valley,Near
500,0.1,1,Upland,Far
501,26,1,Valley,Near
502,26,1,Valley,Near
503,26,1,Valley,Near
504,37,0,Valley,Far
505,26,1,Valley,Near
506,2.5,0,Valley,Near
507,26,1,Upland,Far
508,26,1,Valley,Far
509,26,1,Upland,Far
510,1.6,0,Valley,Near
511,213,0,Upland,Far
512,0.65,0,Upland,Near
513,0.16,0,Valley,Far
514,0.52,0,Upland,Far
515,0.13,0,Upland,Far
516,2.2,0,Valley,Far
517,0.14,0,Upland,Far
518,120,0,Valley,Far
519,0.1,1,Upland,Far
520,0.12,0,Upland,Far
521,0.15,0,Valley,Far
522,0.71,0,Upland,Near
523,11000,0,Valley,Far
524,6.3,0,Valley,Far
525,0.26,0,Upland,Far
526,0.18,0,Valley,Far
527,1.2,0,Valley,Far
528,0.1,1,Upland,Far
529,0.95,0,Upland,Far
530,1.4,0,Upland,Far
531,0.18,0,Upland,Far
532,0.2,0,Upland,Far
533,0.13,0,Upland,Far
534,0.12,0,Upland,Far
535,0.13,0,Valley,Far
536,0.2,0,Upland,Far
537,0.1,1,Upland,Far
538,0.2,0,Upland,Far
539,0.56,0,Upland,Far
540,160,0,Upland,Far
541,0.55,0,Valley,Far
542,0.1,1,Upland,Far
543,1.7,0,Valley,Far
544,1.4,0,Valley,Far
545,0.25,0,Valley,Far
546,0.14,0,Upland,Far
547,1.2,0,Upland,Far
548,2,0,Valley,Far
549,0.29,0,Upland,Far
550,0.47,0,Valley,Far
551,0.13,0,Upland,Far
552,0.19,0,Valley,Far
553,0.33,0,Upland,Far
554,0.34,0,Valley,Far
555,5300,0,Upland,Far
556,0.22,0,Upland,Far
557,95,0,Valley,Far
558,330,0,Valley,Far
559,0.17,0,Valley,Far
560,3.4,0,Valley,Far
561,0.44,0,Valley,Far
562,0.14,0,Upland,Far
563,0.27,0,Valley,Near
564,0.16,0,Upland,Far
565,0.16,0,Upland,Far
566,0.27,0,Upland,Far
567,0.19,0,Upland,Far
568,1800,0,Valley,Far
569,5800,0,Valley,Far
570,0.2,0,Upland,Far
571,0.34,0,Upland,Far
572,0.1,0,Upland,Far
573,160,0,Valley,Far
574,0.13,0,Valley,Far
575,2800,0,Valley,Far
576,0.15,0,Valley,Far
577,0.4,0,Upland,Far
578,0.16,0,Upland,Far
579,3300,0,Valley,Far
580,670,0,Valley,Far
581,0.32,0,Upland,Far
582,0.17,0,Upland,Far
583,0.5,0,Valley,Far
584,0.18,0,Upland,Far
585,0.33,0,Valley,Far
586,0.29,0,Upland,Far
587,0.27,0,Valley,Far
588,0.41,0,Upland,Far
589,13,0,Upland,Far
590,40,0,Valley,Far
591,0.76,0,Upland,Far
592,0.1,1,Valley,Far
593,1.5,0,Valley,Far
594,0.44,0,Upland,Far
595,13,0,Valley,Far
596,1900,0,Upland,Far
597,0.31,0,Valley,Far
598,0.12,0,Valley,Far
599,0.18,0,Valley,Far
600,0.5,0,Valley,Far
601,0.16,0,Upland,Far
602,0.18,0,Valley,Far
603,0.31,0,Valley,Far
604,0.15,0,Valley,Far
605,0.47,0,Valley,Far
606,0.3,0,Upland,Far
607,0.22,0,Upland,Far
608,0.1,1,Valley,Far
609,0.4,0,Upland,Far
610,0.17,0,Upland,Far
611,2.4,0,Upland,Far
612,0.99,0,Valley,Far
613,0.18,0,Upland,Far
614,520,0,Upland,Far
615,0.14,0,Upland,Far
616,0.11,0,Upland,Far
617,420,0,Valley,Far
618,0.18,0,Upland,Far
619,0.42,0,Valley,Far
620,0.54,0,Valley,Far
621,3.2,0,Valley,Far
622,1200,0,Valley,Far
623,0.14,0,Upland,Far
624,0.39,0,Upland,Far
625,2300,0,Valley,Far
626,0.13,0,Valley,Far
627,260,0,Valley,Far
628,0.25,0,Upland,Far
629,0.18,0,Valley,Far
630,0.34,0,Upland,Far
631,0.23,0,Valley,Far
632,0.18,0,Valley,Far
633,0.14,0,Valley,Far
634,1.5,0,Valley,Far
635,0.12,0,Valley,Far
636,0.36,0,Valley,Far
637,0.32,0,Upland,Far
638,54,0,Valley,Far
639,6.6,0,Valley,Far
640,0.24,0,Upland,Far
641,760,0,Upland,Far
642,2600,0,Upland,Far
643,0.16,0,Valley,Far
644,0.24,0,Upland,Far
645,0.1,0,Upland,Far
646,7.2,0,Valley,Far
647,0.13,0,Upland,Far
648,600,0,Valley,Far
649,0.12,0,Valley,Far
650,0.57,0,Valley,Far
651,0.1,1,Valley,Far
652,0.28,0,Valley,Far
653,0.23,0,Upland,Far
654,1.2,0,Valley,Far
655,0.14,0,Upland,Far
656,0.27,0,Upland,Far
657,0.15,0,Upland,Far
658,0.1,1,Valley,Far
659,2300,0,Upland,Far
660,0.24,0,Upland,Far
661,22,0,Valley,Far
662,0.1,1,Valley,Far
663,0.1,1,Valley,Far
664,1.2,0,Upland,Far
665,0.63,0,Upland,Far
666,0.1,1,Valley,Far
667,0.66,0,Upland,Far
668,0.51,0,Upland,Far
669,5.3,0,Upland,Far
670,0.1,1,Valley,Far
671,3,0,Valley,Far
672,0.75,0,Upland,Far
673,0.1,1,Valley,Far
674,0.1,1,Upland,Far
675,0.27,0,Upland,Far
676,0.1,1,Upland,Far
677,0.11,0,Upland,Far
678,0.38,0,Valley,Far
679,0.89,0,Upland,Far
680,0.98,0,Upland,Far
681,0.1,0,Upland,Far
682,0.5,0,Upland,Far
683,0.18,0,Upland,Far
684,1.6,0,Valley,Far
685,150,0,Valley,Far
686,1700,0,Upland,Far
687,2.3,0,Valley,Far
688,29,0,Valley,Far
689,2.5,0,Valley,Far
690,0.51,0,Upland,Near
691,0.42,0,Upland,Far
692,0.61,0,Upland,Far
693,0.39,0,Upland,Far
694,0.17,0,Upland,Far
695,11000,0,Valley,Far
696,0.46,0,Valley,Far
697,260,0,Upland,Far
698,210,0,Valley,Far
699,0.22,0,Valley,Far
700,3300,0,Valley,Far
701,0.13,0,Upland,Far
702,0.1,1,Upland,Far
703,4.2,0,Valley,Far
704,0.34,0,Valley,Far
705,2.2,0,Valley,Far
706,0.45,0,Upland,Far
707,0.37,0,Upland,Far
708,0.71,0,Upland,Far
709,4.9,0,Upland,Far
710,0.21,0,Upland,Far
711,140,0,Valley,Far
712,7.6,0,Upland,Far
713,0.11,0,Valley,Far
714,73,0,Valley,Far
715,0.26,0,Valley,Far
716,0.11,0,Upland,Far
717,0.2,0,Valley,Far
718,0.51,0,Valley,Far
719,0.1,1,Valley,Far
720,0.46,0,Valley,Far
721,0.26,0,Upland,Far
722,0.65,0,Valley,Far
723,2200,0,Valley,Far
724,1.3,0,Upland,Far
725,0.12,0,Upland,Far
726,2400,0,Valley,Far
727,0.072,0,Upland,Far
728,5.8,0,Upland,Far
729,0.23,0,Valley,Far
730,0.13,0,Upland,Far
731,0.1,1,Valley,Far
732,14,0,Upland,Far
733,5.7,0,Valley,Far
734,9,0,Valley,Far
735,15,0,Upland,Far
736,0.34,0,Valley,Far
737,0.2,0,Upland,Far
738,94,0,Valley,Far
739,48,0,Valley,Far
740,700,0,Valley,Far
741,0.1,0,Upland,Far
742,1.4,0,Valley,Far
743,23,0,Valley,Far
744,0.13,0,Valley,Far
745,0.1,1,Valley,Far
746,1300,0,Valley,Far
747,210,0,Valley,Far
748,0.92,0,Valley,Far
749,16,0,Upland,Far
750,500,0,Upland,Far
751,0.15,0,Upland,Far
752,0.13,0,Valley,Far
753,1.1,0,Upland,Far
754,0.13,0,Upland,Far
755,0.11,0,Valley,Far
756,2,0,Valley,Far
757,0.73,0,Upland,Far
758,0.22,0,Valley,Far
759,0.18,0,Valley,Far
760,0.1,1,Valley,Far
761,94,0,Valley,Near
762,0.14,0,Valley,Far
763,0.16,0,Valley,Far
764,0.66,0,Upland,Far
765,0.37,0,Upland,Far
766,12000,0,Valley,Far
767,6100,0,Valley,Far
768,11000,0,Valley,Far
769,7700,0,Valley,Far
770,0.59,0,Valley,Far
771,0.28,0,Upland,Far
772,1100,0,Valley,Far
773,13000,0,Valley,Far
774,0.1,1,Valley,Far
775,6.3,0,Valley,Far
776,0.26,0,Upland,Far
777,0.92,0,Upland,Far
778,640,0,Valley,Far
779,0.13,0,Valley,Far
780,0.15,0,Valley,Far
781,0.45,0,Upland,Far
782,0.36,0,Upland,Far
783,1.1,0,Upland,Far
784,1500,0,Valley,Far
785,0.13,0,Valley,Far
786,1.2,0,Valley,Far
787,0.1,0,Valley,Far
788,0.62,0,Valley,Far
789,0.6,0,Valley,Far
790,0.67,0,Valley,Far
791,2.5,0,Upland,Far
792,0.19,0,Valley,Far
793,0.11,0,Valley,Far
794,0.2,0,Valley,Far
795,1.1,0,Upland,Far
796,0.62,0,Valley,Far
797,0.57,0,Upland,Far
798,1.2,0,Upland,Far
799,1300,0,Upland,Far
800,200,0,Valley,Far
801,64,0,Valley,Far
802,0.21,0,Upland,Far
803,0.7,0,Upland,Far
804,0.12,0,Upland,Far
805,0.14,0,Valley,Far
806,0.4,0,Upland,Far
807,0.23,0,Upland,Far
808,0.14,0,Upland,Far
809,14000,0,Valley,Far
810,0.12,0,Upland,Far
811,0.22,0,Valley,Far
812,600,0,Valley,Far
813,0.1,1,Upland,Far
814,0.15,0,Valley,Far
815,2.7,0,Valley,Far
816,1200,0,Valley,Far
817,0.11,0,Upland,Far
818,5.6,0,Valley,Far
819,8300,0,Upland,Near
820,0.25,0,Valley,Far
821,0.12,0,Valley,Far
822,0.15,0,Valley,Far
823,1.9,0,Valley,Far
824,0.34,0,Upland,Far
825,0.15,0,Upland,Far
826,0.1,1,Upland,Far
827,0.24,0,Valley,Far
828,0.19,0,Upland,Far
829,0.16,0,Valley,Far
830,0.16,0,Upland,Far
831,0.16,0,Valley,Far
832,0.1,1,Valley,Far
833,0.54,0,Valley,Far
834,0.41,0,Upland,Far
835,13,0,Upland,Far
836,0.66,0,Upland,Far
837,0.1,1,Upland,Far
838,1.5,0,Valley,Far
839,0.14,0,Upland,Far
840,0.16,0,Upland,Far
841,1.8,0,Valley,Far
842,620,0,Valley,Far
843,0.12,0,Upland,Far
844,4.7,0,Upland,Far
845,0.1,1,Upland,Far
846,0.1,1,Upland,Far
847,3.2,0,Upland,Far
848,2.1,0,Valley,Far
849,0.18,0,Valley,Far
850,0.38,0,Valley,Far
851,2300,0,Valley,Far
852,2.2,0,Valley,Far
853,0.56,0,Valley,Far
854,0.26,0,Valley,Far
855,7900,0,Valley,Far
856,9.4,0,Valley,Far
857,17000,0,Valley,Far
858,2.7,0,Valley,Near
859,0.1,1,Valley,Far
860,3.2,0,Valley,Far
861,0.1,1,Valley,Far
862,12000,0,Valley,Far
863,18000,0,Valley,Far
864,0.23,0,Upland,Far
865,0.17,0,Upland,Far
