ID,methane,dl,location,proximity
866,1.2,0,Upland,Far
867,0.72,0,Upland,Near
868,12000,0,Valley,Far
869,8900,0,Valley,Far
870,360,0,Valley,Far
871,1600,0,Valley,Far
872,0.22,0,Upland,Far
873,110,0,Upland,Far
874,870,0,Upland,Far
875,3.6,0,Upland,Far
876,0.44,0,Upland,Far
877,1800,0,Valley,Far
878,0.39,0,Upland,Far
879,8800,0,Valley,Far
880,5.6,0,Upland,Near
881,0.34,0,Valley,Far
882,12000,0,Valley,Far
883,0.43,0,Valley,Far
884,0.19,0,Valley,Far
885,520,0,Valley,Far
886,1900,0,Valley,Far
887,0.41,0,Valley,Far
888,1.2,0,Upland,Near
889,0.22,0,Upland,Far
890,26,0,Valley,Far
891,1.6,0,Upland,Far
892,2,0,Valley,Far
893,0.1,1,Upland,Far
894,0.15,0,Valley,Far
895,0.1,1,Upland,Far
896,0.14,0,Upland,Far
897,0.1,0,Valley,Far
898,0.19,0,Upland,Far
899,0.18,0,Upland,Far
900,0.19,0,Upland,Far
901,0.1,1,Upland,Far
902,1.1,0,Valley,Far
903,0.26,0,Valley,Far
904,6500,0,Valley,Near
905,2.2,0,Valley,Far
906,0.12,0,Valley,Far
907,0.22,0,Upland,Far
908,1.2,0,Valley,Far
909,0.17,0,Upland,Far
910,0.2,0,Upland,Far
911,0.28,0,Upland,Far
912,1,0,Valley,Far
913,0.1,0,Valley,Far
914,0.38,0,Upland,Far
915,1.1,0,Upland,Far
916,0.15,0,Upland,Far
917,0.26,0,Valley,Far
918,0.35,0,Upland,Far
919,0.21,0,Upland,Far
920,0.31,0,Valley,Far
921,11000,0,Valley,Near
922,0.33,0,Valley,Far
923,0.13,0,Valley,Near
924,0.5,0,Valley,Far
925,0.93,0,Valley,Far
926,0.52,0,Valley,Far
927,0.16,0,Valley,Far
928,75,0,Upland,Far
929,0.14,0,Upland,Far
930,0.44,0,Upland,Far
931,43000,0,Valley,Near
932,0.18,0,Upland,Far
933,390,0,Valley,Far
934,0.11,0,Valley,Far
935,0.22,0,Upland,Far
936,74,0,Upland,Far
937,2.8,0,Valley,Far
938,11000,0,Valley,Far
939,2.8,0,Upland,Far
940,0.12,0,Upland,Far
941,0.1,0,Valley,Far
942,1.6,0,Upland,Far
943,1800,0,Valley,Far
944,0.11,0,Valley,Far
945,0.59,0,Upland,Near
946,1.1,0,Valley,Far
947,2.9,0,Upland,Far
948,0.32,0,Upland,Far
949,0.45,0,Valley,Far
950,0.17,0,Valley,Far
951,1.9,0,Upland,Far
952,0.16,0,Valley,Far
953,0.1,1,Upland,Far
954,0.1,0,Valley,Far
955,0.14,0,Valley,Far
956,0.1,1,Valley,Far
957,0.69,0,Upland,Far
958,0.1,0,Valley,Far
959,0.18,0,Upland,Far
960,0.68,0,Upland,Far
961,12000,0,Valley,Far
962,6.8,0,Upland,Far
963,0.25,0,Valley,Far
964,16000,0,Valley,Far
965,0.2,0,Valley,Far
966,1.4,0,Upland,Far
967,900,0,Valley,Far
968,0.13,0,Upland,Near
969,13000,0,Valley,Far
970,0.54,0,Upland,Near
971,0.46,0,Upland,Far
972,0.1,1,Upland,Far
973,27,0,Valley,Far
974,4600,0,Valley,Far
975,0.24,0,Upland,Far
976,0.14,0,Upland,Far
977,0.1,0,Upland,Far
978,26,0,Upland,Far
979,0.23,0,Upland,Far
980,0.4,0,Upland,Far
981,1.5,0,Upland,Far
982,3400,0,Valley,Far
983,24000,0,Valley,Near
984,570,0,Valley,Far
985,0.1,0,Upland,Far
986,9.8,0,Valley,Far
987,29,0,Valley,Far
988,0.1,0,Valley,Far
989,0.1,1,Upland,Far
990,4000,0,Valley,Far
991,0.1,1,Upland,Far
992,0.96,0,Upland,Far
993,240,0,Upland,Far
994,0.1,1,Valley,Far
995,6300,0,Valley,Far
996,0.13,0,Upland,Far
997,0.1,1,Upland,Far
998,0.16,0,Upland,Far
999,0.44,0,Valley,Far
1000,1.5,0,Upland,Far
1001,0.1,1,Upland,Far
1002,4200,0,Valley,Far
1003,0.12,0,Valley,Far
1004,0.16,0,Valley,Far
1005,0.16,0,Valley,Far
1006,0.22,0,Valley,Far
1007,440,0,Valley,Far
1008,0.14,0,Valley,Far
1009,8000,0,Valley,Far
1010,0.14,0,Upland,Far
1011,0.1,1,Upland,Far
1012,88,0,Upland,Far
1013,0.1,1,Valley,Far
1014,0.25,0,Upland,Far
1015,0.1,1,Upland,Far
1016,0.1,0,Upland,Far
1017,0.4,0,Upland,Far
1018,2100,0,Valley,Far
1019,4.1,0,Valley,Far
1020,0.17,0,Upland,Far
1021,2,0,Upland,Far
1022,4900,0,Valley,Far
1023,0.7,0,Upland,Far
1024,0.1,1,Upland,Far
1025,64,0,Valley,Far
1026,0.1,1,Valley,Far
1027,0.14,0,Valley,Far
1028,0.88,0,Upland,Far
1029,0.1,1,Valley,Far
1030,0.82,0,Valley,Far
1031,140,0,Valley,Far
1032,27,0,Upland,Far
1033,13,0,Upland,Far
1034,1.2,0,Valley,Far
1035,15000,0,Valley,Near
1036,0.63,0,Upland,Far
1037,0.5,0,Upland,Far
1038,0.12,0,Valley,Far
1039,0.1,1,Valley,Near
1040,1,0,Valley,Far
1041,0.12,0,Upland,Near
1042,0.28,0,Upland,Far
1043,3.3,0,Valley,Far
1044,3.2,0,Valley,Far
1045,1.6,0,Valley,Far
1046,0.22,0,Valley,Far
1047,930,0,Valley,Far
1048,2.5,0,Valley,Far
1049,0.31,0,Valley,Far
1050,0.1,1,Upland,Far
1051,0.27,0,Upland,Far
1052,0.3,0,Upland,Far
1053,0.1,1,Valley,Far
1054,0.14,0,Upland,Far
1055,0.2,0,Valley,Far
1056,0.17,0,Upland,Far
1057,0.15,0,Valley,Far
1058,0.1,1,Upland,Far
1059,0.1,1,Upland,Far
1060,5,0,Upland,Far
1061,0.86,0,Upland,Far
1062,15000,0,Valley,Far
1063,81,0,Valley,Far
1064,0.1,1,Valley,Far
1065,0.56,0,Valley,Far
1066,0.1,1,Upland,Far
1067,0.1,1,Upland,Far
1068,9.3,0,Valley,Near
1069,2.7,0,Valley,Far
1070,0.28,0,Upland,Far
1071,1200,0,Valley,Near
1072,0.23,0,Valley,Near
1073,4600,0,Valley,Near
1074,0.12,0,Upland,Far
1075,0.18,0,Upland,Far
1076,0.12,0,Upland,Far
1077,0.1,0,Valley,Far
1078,0.45,0,Upland,Far
1079,0.34,0,Upland,Far
1080,0.21,0,Valley,Far
1081,0.17,0,Upland,Far
1082,0.28,0,Valley,Far
1083,26,1,Upland,Near
1084,26,1,Upland,Near
1085,20,0,Valley,Near
1086,26,1,Valley,Near
1087,26,1,Upland,Near
1088,26,1,Valley,Near
1089,26,1,Valley,Near
1090,22000,0,Valley,Near
1091,26,1,Upland,Far
1092,26,1,Valley,Far
1093,26,1,Upland,Near
1094,4.3,0,Valley,Near
1095,26,1,Valley,Near
1096,26,1,Valley,Near
1097,6.5,0,Upland,Near
1098,7,0,Upland,Far
1099,23000,0,Valley,Near
1100,26,1,Valley,Near
1101,0.13,0,Upland,Far
1102,26,1,Valley,Near
1103,26,1,Upland,Far
1104,26,1,Upland,Far
1105,3.8,0,Upland,Far
1106,26,1,Upland,Far
1107,26,1,Upland,Far
1108,7.5,0,Upland,Far
1109,2000,0,Upland,Far
1110,1370,0,Valley,Far
1111,0.1,1,Valley,Near
1112,26,1,Valley,Far
1113,213,0,Valley,Far
1114,0.31,0,Upland,Near
1115,26,1,Upland,Far
1116,26,1,Valley,Near
1117,140,0,Upland,Far
1118,26,1,Upland,Far
1119,26,1,Upland,Far
1120,26,1,Valley,Far
1121,26,1,Valley,Far
1122,26,1,Valley,Far
1123,26,1,Upland,Near
1124,26,1,Valley,Far
1125,26,1,Valley,Far
1126,26,1,Upland,Far
1127,26,1,Valley,Far
1128,26,1,Upland,Near
1129,26,1,Upland,Near
1130,0.51,0,Valley,Far
1131,30.9,0,Upland,Near
1132,20500,0,Valley,Far
1133,7.1,0,Upland,Near
1134,0.3,0,Upland,Far
1135,26,1,Upland,Far
1136,26,1,Upland,Near
1137,26,1,Upland,Near
1138,26,1,Valley,Near
1139,110,0,Valley,Far
1140,26,1,Valley,Far
1141,160,0,Valley,Far
1142,26,1,Valley,Far
1143,26,1,Upland,Far
1144,3.2,0,Upland,Near
1145,2.7,0,Upland,Near
1146,0.7,0,Upland,Far
1147,1.1,0,Upland,Far
1148,21,0,Valley,Far
1149,0.11,0,Upland,Far
1150,23000,0,Valley,Far
1151,0.87,0,Valley,Far
1152,0.43,0,Valley,Far
1153,2,0,Upland,Far
1154,0.35,0,Upland,Far
1155,0.21,0,Valley,Far
1156,0.28,0,Valley,Far
1157,11000,0,Upland,Far
1158,12000,0,Valley,Far
1159,22,0,Valley,Far
1160,5100,0,Upland,Far
1161,1.5,0,Valley,Far
1162,0.1,1,Upland,Far
1163,0.14,0,Upland,Far
1164,5.2,0,Valley,Far
1165,22000,0,Valley,Far
1166,0.12,0,Valley,Far
1167,0.34,0,Upland,Far
1168,0.19,0,Upland,Far
1169,8,0,Upland,Far
1170,0.1,1,Upland,Far
1171,3.4,0,Upland,Far
1172,0.14,0,Upland,Far
1173,15,0,Valley,Near
1174,0.29,0,Upland,Far
1175,0.18,0,Upland,Far
1176,300,0,Valley,Far
1177,0.32,0,Upland,Far
1178,0.15,0,Valley,Far
1179,2,0,Upland,Far
1180,0.41,0,Upland,Far
1181,0.1,1,Valley,Far
1182,6.6,0,Upland,Far
1183,0.11,0,Valley,Far
1184,8.8,0,Upland,Near
1185,0.15,0,Valley,Far
1186,0.72,0,Upland,Far
1187,0.24,0,Valley,Far
1188,26,1,Valley,Far
1189,0.29,0,Valley,Far
1190,5,1,Upland,Far
1191,5,1,Upland,Far
1192,52.1,0,Upland,Near
1193,0.19,0,Upland,Far
1194,26,1,Valley,Near
1195,372,0,Upland,Near
1196,0.84,0,Upland,Far
1197,0.26,0,Upland,Near
1198,26,1,Upland,Near
1199,0.43,0,Upland,Far
1200,0.12,0,Upland,Far
1201,0.18,0,Upland,Far
1202,0.13,0,Valley,Far
1203,0.31,0,Upland,Far
1204,1.4,0,Valley,Far
1205,0.1,1,Upland,Far
1206,2,0,Valley,Far
1207,0.28,0,Upland,Far
1208,18000,0,Valley,Far
1209,26,1,Valley,Near
1210,0.1,1,Upland,Far
1211,26,1,Upland,Near
1212,26,1,Valley,Far
1213,3.4,0,Upland,Far
1214,26,1,Upland,Far
1215,26,1,Upland,Far
1216,26,1,Upland,Far
1217,26,1,Upland,Near
1218,26,1,Upland,Near
1219,26,1,Valley,Far
1220,0.31,0,Upland,Far
1221,5,1,Upland,Far
1222,227,0,Upland,Near
1223,5,1,Upland,Far
1224,2.7,0,Upland,Far
1225,0.45,0,Valley,Near
1226,1.5,0,Upland,Near
1227,5,1,Upland,Far
1228,6.94,0,Valley,Far
1229,13000,0,Valley,Far
1230,0.28,0,Valley,Far
1231,2600,0,Valley,Far
1232,1.2,0,Upland,Far
1233,0.65,0,Upland,Far
1234,0.1,1,Valley,Far
1235,0.1,1,Valley,Far
1236,1,0,Upland,Far
1237,0.1,1,Upland,Far
1238,46,0,Valley,Far
1239,0.12,0,Upland,Far
1240,2000,0,Valley,Far
1241,0.2,0,Upland,Far
1242,2100,0,Valley,Far
1243,130,0,Upland,Near
1244,1.3,0,Valley,Far
1245,50,0,Upland,Near
1246,2,0,Upland,Far
1247,1700,0,Upland,Far
1248,390,0,Upland,Far
1249,16000,0,Valley,Far
1250,0.29,0,Upland,Far
1251,0.1,1,Upland,Far
1252,26,1,Valley,Near
1253,0.11,0,Upland,Far
1254,0.28,0,Upland,Far
1255,250,0,Valley,Near
1256,0.24,0,Upland,Near
1257,0.55,0,Upland,Far
1258,0.29,0,Upland,Near
1259,6.2,0,Valley,Near
1260,4.7,0,Valley,Far
1261,0.31,0,Valley,Far
1262,1.7,1,Upland,Far
1263,1.7,0,Upland,Far
1264,0.27,0,Valley,Near
1265,0.38,0,Upland,Far
1266,700,0,Upland,Far
1267,0.6,0,Upland,Far
1268,0.13,0,Upland,Near
1269,1.5,0,Upland,Far
1270,1.2,0,Upland,Near
1271,6.1,0,Valley,Far
1272,0.18,0,Upland,Far
1273,1.4,0,Upland,Far
1274,0.8,0,Upland,Near
1275,30,0,Upland,Far
1276,3,0,Valley,Far
1277,0.55,0,Valley,Far
1278,0.15,0,Upland,Near
1279,3.2,0,Upland,Far
1280,0.13,0,Upland,Near
1281,0.68,0,Upland,Far
1282,0.12,0,Upland,Far
1283,1.3,0,Upland,Far
1284,0.2,0,Upland,Far
1285,280,0,Upland,Far
1286,1.3,0,Valley,Far
1287,0.2,0,Valley,Far
1288,0.14,0,Upland,Far
1289,3.5,0,Valley,Near
1290,0.32,0,Upland,Far
1291,0.58,0,Upland,Far
1292,0.24,0,Upland,Far
1293,1.4,0,Upland,Far
1294,0.17,0,Upland,Near
1295,0.12,0,Upland,Far
1296,9.4,0,Valley,Far
1297,0.38,0,Upland,Far
1298,7.9,0,Upland,Far
1299,0.14,0,Upland,Far
1300,1.4,0,Valley,Far
1301,0.46,0,Upland,Far
1302,0.47,0,Upland,Far
1303,0.27,0,Upland,Far
1304,60,0,Valley,Far
1305,0.1,1,Valley,Far
1306,0.1,1,Valley,Far
1307,0.28,0,Upland,Near
1308,0.27,0,Valley,Far
1309,0.4,0,Valley,Far
1310,34,0,Valley,Far
1311,0.12,0,Valley,Far
1312,5.9,0,Valley,Far
1313,5,0,Valley,Far
1314,2.8,0,Upland,Far
1315,1.4,0,Valley,Near
1316,0.26,0,Upland,Far
1317,1600,0,Valley,Far
1318,0.79,0,Upland,Far
1319,57,0,Valley,Far
1320,0.11,0,Valley,Near
1321,0.32,0,Upland,Near
1322,19000,0,Upland,Far
1323,0.13,0,Upland,Near
1324,0.39,0,Valley,Far
1325,0.11,0,Upland,Far
1326,0.4,0,Upland,Far
1327,0.2,0,Upland,Far
1328,0.17,0,Upland,Far
1329,0.2,0,Upland,Far
1330,10,0,Valley,Far
1331,1.9,0,Upland,Far
1332,2.2,0,Valley,Far
1333,2500,0,Upland,Far
1334,0.37,0,Valley,Far
1335,0.1,1,Valley,Far
1336,0.24,0,Valley,Far
1337,0.1,0,Valley,Far
1338,0.11,0,Valley,Far
1339,0.15,0,Valley,Far
1340,50,0,Upland,Near
1341,0.15,0,Upland,Far
1342,0.1,1,Valley,Far
1343,0.64,0,Valley,Far
1344,340,0,Valley,Far
1345,56,0,Upland,Far
1346,24,0,Upland,Far
1347,0.13,0,Valley,Far
1348,0.2,0,Upland,Far
1349,0.6,0,Upland,Far
1350,0.19,0,Upland,Far
1351,0.1,1,Upland,Far
1352,1.5,0,Upland,Far
1353,0.68,0,Upland,Far
1354,0.16,0,Valley,Far
1355,0.14,0,Valley,Far
1356,14,0,Valley,Far
1357,0.1,0,Upland,Far
1358,0.73,0,Upland,Far
1359,0.22,0,Upland,Far
1360,0.4,0,Upland,Far
1361,0.24,0,Valley,Far
1362,3,0,Upland,Far
1363,0.16,0,Upland,Far
1364,0.18,0,Valley,Far
1365,0.1,1,Upland,Far
1366,620,0,Valley,Far
1367,2,0,Valley,Far
1368,0.12,0,Valley,Far
1369,0.48,0,Upland,Far
1370,0.52,0,Upland,Near
1371,0.27,0,Valley,Far
1372,17,0,Valley,Far
1373,0.28,0,Valley,Far
1374,0.51,0,Upland,Far
1375,0.1,1,Valley,Far
1376,0.18,0,Valley,Near
1377,0.33,0,Upland,Far
1378,360,0,Upland,Far
1379,0.1,1,Upland,Far
1380,340,0,Upland,Far
1381,7.4,0,Valley,Far
1382,2.2,0,Valley,Far
1383,3.1,0,Valley,Far
1384,1.7,0,Upland,Far
1385,0.1,1,Upland,Far
1386,0.1,1,Upland,Far
1387,2.9,0,Upland,Far
1388,0.7,0,Upland,Far
1389,0.2,0,Upland,Near
1390,31,0,Valley,Far
1391,0.15,0,Upland,Far
1392,0.1,1,Upland,Far
1393,1.7,0,Upland,Far
1394,2,0,Valley,Far
1395,0.2,0,Upland,Far
1396,0.21,0,Valley,Far
1397,0.15,0,Upland,Far
1398,0.1,1,Upland,Far
1399,2.4,0,Valley,Far
1400,1.2,0,Upland,Far
1401,0.1,1,Upland,Far
1402,43,0,Upland,Far
1403,0.1,1,Upland,Far
1404,0.82,0,Valley,Far
1405,0.28,0,Valley,Far
1406,0.22,0,Valley,Far
1407,4.1,0,Valley,Far
1408,940,0,Valley,Far
1409,0.16,0,Valley,Far
1410,0.15,0,Upland,Far
1411,5600,0,Valley,Far
1412,2800,0,Valley,Far
1413,0.27,0,Upland,Far
1414,14,0,Valley,Far
1415,0.18,0,Upland,Far
1416,0.55,0,Valley,Far
1417,0.11,0,Upland,Far
1418,1.9,0,Upland,Far
1419,4700,0,Valley,Far
1420,0.3,0,Upland,Far
1421,1.4,0,Upland,Far
1422,1.4,0,Upland,Near
1423,0.23,0,Upland,Far
1424,0.14,0,Valley,Far
1425,0.36,0,Valley,Far
1426,1,0,Upland,Far
1427,0.1,1,Valley,Far
1428,0.19,0,Valley,Far
1429,0.66,0,Upland,Far
1430,0.1,1,Valley,Far
1431,9,0,Valley,Far
1432,46,0,Upland,Far
1433,0.1,1,Valley,Far
1434,0.1,1,Upland,Far
1435,0.39,0,Upland,Far
1436,0.1,1,Upland,Far
1437,0.56,0,Upland,Far
1438,0.1,1,Valley,Far
1439,1.3,0,Upland,Far
1440,0.17,0,Upland,Far
1441,0.24,0,Valley,Far
1442,0.54,0,Upland,Far
1443,17,0,Valley,Far
1444,1.9,0,Valley,Far
1445,0.19,0,Upland,Far
1446,0.57,0,Valley,Far
1447,0.16,0,Upland,Far
1448,0.19,0,Upland,Far
1449,0.17,0,Upland,Far
1450,0.25,0,Upland,Far
1451,0.53,0,Upland,Near
1452,0.35,0,Upland,Far
1453,0.25,0,Upland,Far
1454,2.4,0,Valley,Far
1455,6.1,0,Valley,Far
1456,1.4,0,Valley,Far
1457,3.6,0,Upland,Near
1458,0.2,0,Upland,Far
1459,18000,0,Valley,Near
1460,0.52,0,Valley,Near
1461,26,1,Valley,Far
1462,26,1,Valley,Far
1463,43.5,0,Upland,Far
1464,0.1,1,Upland,Far
1465,5,1,Valley,Far
1466,0.29,0,Valley,Far
1467,5,1,Valley,Far
1468,0.12,0,Upland,Far
1469,0.11,0,Upland,Far
1470,5,1,Upland,Far
1471,0.1,1,Upland,Far
1472,1.1,0,Upland,Far
1473,0.1,1,Upland,Far
1474,4.6,0,Upland,Far
1475,1.7,0,Upland,Far
1476,0.98,0,Upland,Far
1477,0.26,0,Upland,Far
1478,0.87,0,Upland,Far
1479,0.77,0,Upland,Far
1480,1.8,0,Upland,Far
1481,35,0,Upland,Near
1482,2.1,0,Valley,Near
1483,39,0,Valley,Near
1484,1.4,0,Upland,Far
1485,1.4,0,Valley,Far
1486,26,1,Upland,Near
1487,26,1,Upland,Far
1488,26,1,Upland,Far
1489,0.13,0,Valley,Far
1490,26,1,Valley,Far
1491,8100,0,Upland,Far
1492,0.16,0,Upland,Near
1493,26,1,Upland,Far
1494,26,1,Valley,Far
1495,26,1,Valley,Near
1496,26,1,Valley,Far
1497,26,1,Upland,Far
1498,4.4,0,Upland,Far
1499,0.54,0,Upland,Near
1500,3.6,0,Upland,Near
1501,26,1,Upland,Far
1502,26,1,Upland,Far
1503,0.55,0,Upland,Near
1504,26,1,Valley,Far
1505,26,1,Upland,Far
1506,26,1,Valley,Far
1507,0.19,0,Valley,Far
1508,26,1,Upland,Far
1509,60.1,0,Valley,Far
1510,0.47,0,Upland,Far
1511,0.1,1,Upland,Far
1512,26,1,Upland,Far
1513,26,1,Upland,Far
1514,26,1,Valley,Near
1515,26,1,Upland,Far
1516,26,1,Upland,Far
1517,26,1,Upland,Far
1518,26,1,Upland,Far
1519,26,1,Upland,Far
1520,26,1,Upland,Far
1521,439,0,Valley,Far
1522,32.9,0,Valley,Far
1523,26,1,Upland,Far
1524,26,1,Upland,Far
1525,0.13,0,Valley,Far
1526,26,1,Upland,Far
1527,0.36,0,Upland,Far
1528,26,1,Valley,Far
1529,26,1,Upland,Far
1530,1.6,0,Upland,Far
1531,26,1,Upland,Far
1532,26,1,Upland,Far
1533,26,1,Upland,Far
1534,26,1,Upland,Far
1535,0.15,0,Upland,Far
1536,26,1,Valley,Near
1537,0.33,0,Upland,Far
1538,2200,0,Valley,Far
1539,26,1,Upland,Far
1540,0.73,0,Upland,Far
1541,30,0,Upland,Far
1542,26,1,Valley,Near
1543,3.1,0,Upland,Far
1544,0.16,0,Upland,Far
1545,26,1,Upland,Far
1546,1.1,0,Upland,Far
1547,26,1,Valley,Far
1548,151,0,Valley,Far
1549,26,1,Valley,Near
1550,26,1,Valley,Near
1551,26,1,Upland,Far
1552,26,1,Valley,Near
1553,26,1,Valley,Far
1554,16000,0,Upland,Far
1555,0.75,0,Upland,Far
1556,0.52,0,Valley,Near
1557,1400,0,Valley,Far
1558,0.26,0,Valley,Far
1559,1.1,0,Upland,Far
1560,2.4,0,Upland,Far
1561,0.1,1,Upland,Far
1562,0.1,1,Upland,Far
1563,540,0,Upland,Near
1564,0.1,1,Upland,Far
1565,0.11,0,Valley,Far
1566,0.71,0,Valley,Far
1567,5600,0,Valley,Far
1568,0.21,0,Valley,Far
1569,0.18,0,Upland,Far
1570,0.1,1,Valley,Far
1571,99,0,Valley,Far
1572,0.1,1,Upland,Far
1573,1.1,0,Upland,Far
1574,0.13,0,Upland,Far
1575,0.11,0,Upland,Far
1576,0.1,1,Upland,Far
1577,0.1,1,Upland,Far
1578,0.12,0,Upland,Far
1579,220,0,Upland,Far
1580,0.64,0,Valley,Far
1581,0.1,1,Upland,Far
1582,0.1,1,Upland,Far
1583,0.16,0,Valley,Near
1584,0.1,1,Upland,Far
1585,0.26,0,Upland,Far
1586,0.1,1,Upland,Far
1587,0.52,0,Valley,Far
1588,0.11,0,Valley,Far
1589,0.11,0,Upland,Far
1590,0.43,0,Valley,Far
1591,26,1,Upland,Near
1592,0.21,0,Valley,Far
1593,2.7,0,Upland,Far
1594,2.3,0,Upland,Near
1595,0.19,0,Upland,Far
1596,1900,0,Valley,Far
1597,1.1,0,Upland,Far
1598,4.2,0,Valley,Near
1599,1.3,0,Upland,Far
1600,0.63,0,Valley,Near
1601,0.85,0,Valley,Near
1602,0.76,0,Upland,Far
1603,0.34,0,Upland,Far
1604,0.67,0,Upland,Far
1605,2,0,Upland,Far
1606,0.9,0,Upland,Far
1607,0.29,0,Upland,Far
1608,2.3,0,Upland,Far
1609,3.3,0,Upland,Far
1610,34,0,Upland,Far
1611,0.17,0,Upland,Near
1612,5.7,0,Upland,Far
1613,0.52,0,Upland,Near
1614,0.17,0,Valley,Far
1615,0.1,1,Upland,Far
1616,0.18,0,Valley,Far
1617,0.1,1,Valley,Far
1618,0.1,1,Valley,Far
1619,1,0,Valley,Near
1620,4.8,0,Upland,Far
1621,0.2,0,Valley,Far
1622,220,0,Upland,Near
1623,0.78,0,Upland,Far
1624,32000,0,Upland,Far
1625,3.7,0,Upland,Far
1626,0.19,0,Valley,Far
1627,0.34,0,Valley,Far
1628,3500,0,Valley,Far
1629,1.6,0,Valley,Far
1630,0.16,0,Valley,Far
1631,12,0,Valley,Far
1632,16,0,Valley,Far
1633,1.4,0,Upland,Near
1634,22,0,Valley,Far
1635,11,0,Valley,Near
1636,18,0,Upland,Far
1637,620,0,Valley,Far
1638,1,1,Upland,Far
1639,0.35,0,Upland,Far
1640,0.1,1,Valley,Far
1641,0.31,0,Valley,Far
1642,2500,0,Valley,Far
1643,5,0,Upland,Far
1644,0.42,0,Valley,Far
1645,0.19,0,Valley,Far
1646,0.12,0,Valley,Far
1647,0.1,1,Upland,Far
1648,0.32,0,Upland,Far
1649,0.24,0,Upland,Far
1650,3.4,0,Valley,Far
1651,0.19,0,Valley,Far
1652,0.11,0,Upland,Far
1653,190,0,Valley,Far
1654,70,0,Valley,Far
1655,0.13,0,Valley,Far
1656,0.1,1,Valley,Far
1657,470,0,Upland,Near
1658,0.1,1,Upland,Far
1659,0.81,0,Valley,Far
1660,0.1,1,Upland,Far
1661,1.2,0,Upland,Far
1662,51,0,Valley,Far
1663,610,0,Upland,Far
1664,0.37,0,Upland,Far
1665,39,0,Upland,Far
1666,540,0,Valley,Far
1667,56,0,Valley,Near
1668,0.14,0,Valley,Far
1669,19000,0,Valley,Far
1670,1.3,0,Valley,Far
1671,0.32,0,Upland,Near
1672,0.13,0,Upland,Far
1673,0.094,0,Upland,Far
1674,34,0,Valley,Far
1675,1.4,0,Valley,Near
1676,3600,0,Upland,Far
1677,1.5,0,Valley,Near
1678,0.2,0,Valley,Near
1679,4.8,0,Upland,Near
1680,0.42,0,Valley,Near
1681,0.37,0,Valley,Near
1682,0.12,0,Upland,Far
1683,0.1,1,Upland,Far
1684,1.1,0,Valley,Near
1685,290,0,Upland,Far
1686,0.17,0,Upland,Near
1687,0.34,0,Valley,Far
1688,0.1,1,Valley,Far
1689,19,0,Valley,Near
1690,0.61,0,Upland,Far
1691,0.1,1,Valley,Far
1692,0.12,0,Upland,Near
1693,0.77,0,Upland,Near
1694,2.5,0,Valley,Near
1695,2.7,0,Upland,Near
1696,0.61,0,Upland,Far
1697,0.49,0,Upland,Near
1698,0.25,0,Upland,Far
1699,0.52,0,Upland,Far
1700,0.41,0,Upland,Far
1701,26,1,Valley,Far